"Subnet","OverlappingSubnet","SubnetSite","OverlappingSite","SiteCollision","DCInSite"
"10.0.0.0","10.201.218.0","ISD","US-S00192","True","True"
"10.0.0.0","10.127.245.28","ISD","UK-S07423","True","True"
"10.0.0.0","10.127.245.36","ISD","UK-S07446","True","True"
"10.0.0.0","10.127.247.56","ISD","UK-S07450","True","True"
"10.0.0.0","10.198.56.0","ISD","US-S00422","True","True"
"10.0.0.0","10.220.4.0","ISD","US-S00410","True","True"
"10.0.0.0","10.164.208.0","ISD","MX-S06388","True","True"
"10.0.0.0","10.204.106.0","ISD","US-S00470","True","True"
"10.0.0.0","10.146.200.0","ISD","US-S07014","True","True"
"10.0.0.0","10.194.176.0","ISD","US-S00484","True","True"
"10.0.0.0","10.11.1.64","ISD","ISD","False","True"
"10.0.0.0","10.194.174.0","ISD","US-S00453","True","True"
"10.0.0.0","10.146.56.0","ISD","CA-S06002","True","True"
"10.0.0.0","10.194.0.0","ISD","US-S00009","True","True"
"10.0.0.0","10.156.224.0","ISD","UK-S07430","True","True"
"10.0.0.0","10.127.248.64","ISD","UK-S07421","True","True"
"10.0.0.0","10.211.216.0","ISD","US-S00343","True","True"
"10.0.0.0","10.222.114.0","ISD","US-S00583","True","True"
"10.0.0.0","10.222.194.0","ISD","US-S00267","True","True"
"10.0.0.0","10.202.10.0","ISD","US-S00595","True","True"
"10.0.0.0","10.214.172.0","ISD","US-S00535","True","True"
"10.0.0.0","10.68.72.0","ISD","US-S00328","True","True"
"10.0.0.0","10.200.220.0","ISD","US-S00590","True","True"
"10.0.0.0","10.213.142.0","ISD","US-S00597","True","True"
"10.0.0.0","10.197.180.0","ISD","US-S00392","True","True"
"10.0.0.0","10.200.182.0","ISD","US-S00369","True","True"
"10.0.0.0","10.202.140.0","ISD","US-S00358","True","True"
"10.0.0.0","10.216.54.0","ISD","US-S00622","True","True"
"10.0.0.0","10.69.240.0","ISD","US-S00273","True","True"
"10.0.0.0","10.201.112.0","ISD","US-S00520","True","True"
"10.0.0.0","10.193.148.0","ISD","US-S00560","True","True"
"10.0.0.0","10.222.6.0","ISD","US-S00539","True","True"
"10.0.0.0","10.194.162.0","ISD","US-S00354","True","True"
"10.0.0.0","10.202.138.0","ISD","US-S00320","True","True"
